method,chip_id,psnr,ssim,sam,ergas,ndvi_delta
bicubic,47,33.5557526973419,0.9088911,0.75584483,2.1864402,0.013471579
lanczos,47,33.2373767346453,0.90366983,0.78739727,2.2667787,0.014446509
esrgan,47,25.18411002957867,0.5737598,1.9040996,5.5736995,0.023490677
bicubic,48,32.31513377974892,0.8919994,0.7099977,2.1066206,0.012734154
lanczos,48,32.133267533588814,0.8860822,0.73151463,2.1508708,0.013182667
esrgan,48,24.254211216487814,0.5266269,1.8225546,5.2454095,0.023386773
bicubic,49,30.5427556628188,0.8660102,1.122554,3.349198,0.02318962
lanczos,49,30.482010925778695,0.86224043,1.1398182,3.3777165,0.023840722
esrgan,49,23.620854179132145,0.5054177,2.885718,7.3052087,0.042171206
bicubic,50,33.01623863304553,0.8990358,0.7328724,2.244382,0.012964674
lanczos,50,32.69476886571469,0.8920682,0.77835804,2.328599,0.014331396
esrgan,50,24.568063778742566,0.542935,2.0056717,5.794777,0.02459057
bicubic,51,31.331249196526816,0.8974544,0.9820292,2.9062016,0.020011818
lanczos,51,31.131444851160307,0.893649,1.025952,2.9744442,0.021469537
esrgan,51,23.758543774675836,0.5354836,2.618583,6.834217,0.035124097
bicubic,52,32.032757062514385,0.9021009,0.7119974,2.204309,0.011579916
lanczos,52,31.81666431924406,0.8956691,0.7363281,2.2610319,0.012282297
esrgan,52,21.544876517131087,0.43997344,2.2484508,7.1358404,0.033292145
bicubic,53,30.59507865227434,0.84695184,1.2207243,3.4507756,0.024399485
lanczos,53,30.35808096197573,0.8366827,1.2671648,3.5479133,0.025686204
esrgan,53,24.349484131992707,0.5180858,2.8674312,6.9353623,0.041526493
bicubic,54,32.544662894704814,0.8966514,1.0279211,2.9482605,0.020877346
lanczos,54,32.48318950178505,0.8946036,1.0462607,2.971728,0.021539923
esrgan,54,24.757082908492936,0.5575123,2.7901423,7.1158657,0.038914364
bicubic,55,34.30252743470111,0.9230245,0.8534601,2.420855,0.01641134
lanczos,55,33.97945170484678,0.91663325,0.89713496,2.5120459,0.017796153
esrgan,55,27.39153921999241,0.6519022,1.9732262,5.3415527,0.027822535
bicubic,56,29.885123024095364,0.83718616,1.0956866,3.066772,0.021441136
lanczos,56,29.726260331688593,0.8300112,1.1223361,3.124393,0.02223305
esrgan,56,23.484854863342694,0.4577647,2.2954109,6.3045583,0.032696314
bicubic,57,35.2139557002318,0.9167814,0.8276705,2.4313636,0.0138316285
lanczos,57,35.20745405765459,0.9143176,0.841995,2.4355462,0.014185116
esrgan,57,27.019748393330957,0.6823346,1.984017,6.196057,0.02434216
bicubic,58,33.757970414652135,0.9307915,1.296368,3.330269,0.025691355
lanczos,58,33.815407543334196,0.92874795,1.3180088,3.3036475,0.026328327
esrgan,58,24.983920377636633,0.69852114,3.7873855,9.418786,0.05435095
bicubic,59,33.226249872498116,0.9037965,0.85914755,2.6125283,0.013787342
lanczos,59,33.093731717366495,0.90017587,0.8883689,2.6583178,0.014357868
esrgan,59,21.106592571572776,0.50767845,3.1116881,10.095176,0.04285641
bicubic,60,31.022551825210257,0.86560726,0.76723295,2.2443004,0.013837257
lanczos,60,30.985937975839878,0.86132336,0.78734916,2.2570775,0.014320968
esrgan,60,22.78746680722928,0.46257505,2.043331,5.6106396,0.024673183
bicubic,61,31.43984612490252,0.8739008,0.75657725,1.9895074,0.013403649
lanczos,61,31.23029504611495,0.8662837,0.77692,2.0390646,0.013967953
