method,scene,scale,reflectance,spectral,spatial,synthesis,ha_metric,om_metric,im_metric
lanczos,10,2,0.0022020507603883743,0.523790180683136,0.0,0.010512086562812328,0.08029749989509583,0.16168470680713654,0.7580177783966064
esrgan,10,2,0.010541729629039764,3.115591287612915,0.02828427031636238,0.015002376399934292,0.4421207010746002,0.10422623157501221,0.4536530077457428
sen2sr,10,2,0.007754113525152206,1.9794528484344482,0.0,0.012972927652299404,0.19111286103725433,0.14218194782733917,0.6667052507400513
bicubic,11,2,0.00247294083237648,0.5345486402511597,0.0,0.03388405963778496,0.05288773030042648,0.06262622028589249,0.8844860196113586
lanczos,11,2,0.0024277446791529655,0.5175179839134216,0.0,0.033885419368743896,0.05424138903617859,0.06345272809267044,0.882305920124054
esrgan,11,2,0.009234298020601273,1.9963699579238892,0.04472135752439499,0.03425132483243942,0.0979815274477005,0.08089665323495865,0.8211218118667603
sen2sr,11,2,0.0047220452688634396,1.359785556793213,0.0,0.03406006097793579,0.06330971419811249,0.06287892162799835,0.8738113641738892
bicubic,12,2,0.0026551843620836735,0.516697108745575,0.0,0.03303951770067215,0.0733613669872284,0.08161689341068268,0.845021665096283
lanczos,12,2,0.0025955336168408394,0.4977664649486542,0.0,0.03303886950016022,0.07734602689743042,0.08365848660469055,0.8389954566955566
esrgan,12,2,0.010278970934450626,1.9236562252044678,0.05999999865889549,0.03364003077149391,0.13149495422840118,0.11640380322933197,0.7521012425422668
sen2sr,12,2,0.0044679539278149605,1.248456358909607,0.0,0.03379080072045326,0.0853748470544815,0.08576032519340515,0.8288648128509521
bicubic,13,2,0.0022026810329407454,0.7072942852973938,0.0,0.009669255465269089,0.07160831242799759,0.08522573858499527,0.843165934085846
lanczos,13,2,0.0021433643996715546,0.687818169593811,0.0,0.009722169488668442,0.06928983330726624,0.0805654302239418,0.8501447439193726
esrgan,13,2,0.015498192980885506,6.490281105041504,0.06324554979801178,0.011722794733941555,0.36817488074302673,0.14064590632915497,0.4911792278289795
sen2sr,13,2,0.005266636144369841,1.5662108659744263,0.0,0.010534199886023998,0.10724962502717972,0.08939243853092194,0.8033579587936401
bicubic,14,2,0.0065029701218008995,1.75043785572052,0.0,0.014189260080456734,0.18179020285606384,0.40458330512046814,0.4136265516281128
lanczos,14,2,0.006202272139489651,1.670742392539978,0.0,0.014234188012778759,0.19237196445465088,0.38327139616012573,0.4243566393852234
esrgan,14,2,0.03923172876238823,12.423688888549805,0.03999999910593033,0.022757427766919136,0.6491557955741882,0.15881015360355377,0.19203408062458038
sen2sr,14,2,0.011091435328125954,3.104450225830078,0.0,0.018309984356164932,0.34753718972206116,0.2748160660266876,0.3776467442512512
bicubic,15,2,0.002119261771440506,0.6937669515609741,0.0,0.008402812294661999,0.11853168904781342,0.25035834312438965,0.6311099529266357
lanczos,15,2,0.002047873567789793,0.6715899705886841,0.0,0.008534644730389118,0.11897049099206924,0.23932777345180511,0.6417016983032227
esrgan,15,2,0.01416268851608038,6.267456531524658,0.019999999552965164,0.010274684056639671,0.4255887567996979,0.2059445083141327,0.36846673488616943
sen2sr,15,2,0.005001833662390709,1.463356375694275,0.0,0.009272405877709389,0.1679331660270691,0.23959945142269135,0.5924674272537231
bicubic,16,2,0.002551635028794408,0.5428603291511536,0.0,0.034860797226428986,0.06298638135194778,0.07227055728435516,0.8647430539131165
lanczos,16,2,0.002480496186763048,0.5226120948791504,0.0,0.034862905740737915,0.06502524763345718,0.07353880256414413,0.8614359498023987
esrgan,16,2,0.010535829700529575,2.151413679122925,0.03999999910593033,0.035311292856931686,0.12882287800312042,0.10127381235361099,0.769903302192688
sen2sr,16,2,0.0045630899257957935,1.2676552534103394,0.0,0.03505261614918709,0.07699982076883316,0.07336744666099548,0.8496327996253967
bicubic,17,2,0.002263134578242898,0.4213833212852478,0.0,0.034542713314294815,0.05705760791897774,0.06300430744886398,0.8799381256103516
lanczos,17,2,0.0022222446277737617,0.40693190693855286,0.0,0.03454609215259552,0.0600624606013298,0.06483131647109985,0.8751062750816345
esrgan,17,2,0.008198526687920094,1.6254453659057617,0.03999999910593033,0.03505551442503929,0.08920010924339294,0.08382204174995422,0.8269778490066528
sen2sr,17,2,0.004202075302600861,1.1212046146392822,0.0,0.035358019173145294,0.06086570397019386,0.062094539403915405,0.8770397305488586
bicubic,18,2,0.002563591580837965,0.570372998714447,0.0,0.00634769769385457,0.22594515979290009,0.3557763695716858,0.41827845573425293
lanczos,18,2,0.0024993293918669224,0.5646606087684631,0.0,0.006376958452165127,0.21670883893966675,0.3491351008415222,0.43415603041648865
esrgan,18,2,0.009108765050768852,2.7952170372009277,0.05999999865889549,0.009300746023654938,0.5786998271942139,0.2040715515613556,0.21722865104675293
sen2sr,18,2,0.007861195132136345,1.6203436851501465,0.0,0.010063398629426956,0.37656643986701965,0.291229784488678,0.33220377564430237
bicubic,19,2,0.002370355185121298,0.43067431449890137,0.0,0.018055491149425507,0.07783596217632294,0.08476835489273071,0.8373956680297852
lanczos,19,2,0.0023114136420190334,0.4214005470275879,0.0,0.018059605732560158,0.07535775750875473,0.08256798982620239,0.8420742154121399
esrgan,19,2,0.00898061878979206,2.3432652950286865,0.04472135752439499,0.018844889476895332,0.17699125409126282,0.12077132612466812,0.7022374272346497
sen2sr,19,2,0.0070383562706410885,1.0891860723495483,0.0,0.01816011779010296,0.09630067646503448,0.0930171012878418,0.8106821775436401
bicubic,20,2,0.005513360258191824,1.4948736429214478,0.0,0.006199538242071867,0.14551466703414917,0.6860897541046143,0.16839560866355896
lanczos,20,2,0.005271499045193195,1.426955223083496,0.0,0.00651699909940362,0.17316728830337524,0.6370340585708618,0.18979859352111816
esrgan,20,2,0.02627907320857048,7.3772759437561035,0.03999999910593033,0.017766909673810005,0.7805802226066589,0.11955960094928741,0.09986018389463425
sen2sr,20,2,0.009143509902060032,2.5319550037384033,0.0,0.011297233402729034,0.41616135835647583,0.3681820333003998,0.2156566083431244
bicubic,21,2,0.0016604235861450434,0.552741527557373,0.0,0.008772690780460835,0.177011638879776,0.1347516030073166,0.6882368326187134
lanczos,21,2,0.001639069290831685,0.5361766219139099,0.0,0.008784926496446133,0.17289966344833374,0.1311708390712738,0.6959295868873596
esrgan,21,2,0.009072376415133476,3.782945394515991,0.019999999552965164,0.009439471177756786,0.4662773907184601,0.21467392146587372,0.319048672914505
sen2sr,21,2,0.003714485326781869,1.1961101293563843,0.0,0.008594694547355175,0.17523039877414703,0.15838313102722168,0.6663864254951477
bicubic,22,2,0.003232219722121954,0.8316056132316589,0.0,0.014648636803030968,0.08510859310626984,0.08782298862934113,0.8270683884620667
lanczos,22,2,0.003141758730635047,0.7980051636695862,0.0,0.014723566360771656,0.08361074328422546,0.08360426127910614,0.8327850699424744
esrgan,22,2,0.02278880774974823,7.749281883239746,0.05999999865889549,0.017408078536391258,0.3820859491825104,0.13741235435009003,0.4805016815662384
sen2sr,22,2,0.009051770903170109,2.148658514022827,0.0,0.014756410382688046,0.12164037674665451,0.11345627903938293,0.7649033665657043
bicubic,23,2,0.0028229844756424427,0.692017674446106,0.0,0.011647066101431847,0.20569780468940735,0.17876887321472168,0.6155332922935486
lanczos,23,2,0.0027571353130042553,0.6781415343284607,0.0,0.011748834513127804,0.20868515968322754,0.17583714425563812,0.6154776215553284
esrgan,23,2,0.01823512464761734,6.694712162017822,0.06324554979801178,0.014374139718711376,0.5854671597480774,0.15937408804893494,0.25515881180763245
sen2sr,23,2,0.00778299430385232,1.6890372037887573,0.0,0.012572699226439,0.24720850586891174,0.1832682341337204,0.569523274898529
bicubic,24,2,0.0020619037095457315,0.5594378113746643,0.0,0.01403220184147358,0.14313167333602905,0.1307942271232605,0.7260740995407104
lanczos,24,2,0.0019760397262871265,0.5377489328384399,0.0,0.014201358892023563,0.15167772769927979,0.12973642349243164,0.7185858488082886
esrgan,24,2,0.01098661683499813,3.8981661796569824,0.019999999552965164,0.014811336062848568,0.3077293932437897,0.22728805243968964,0.4649824798107147
sen2sr,24,2,0.005014779511839151,1.135554313659668,0.0,0.014948403462767601,0.1620432287454605,0.1323174238204956,0.7056393027305603
bicubic,25,2,0.00535602169111371,1.3084936141967773,0.0,0.026789238676428795,0.08551544696092606,0.06573067605495453,0.8487538695335388
lanczos,25,2,0.005179162137210369,1.2681300640106201,0.0,0.026955414563417435,0.08412472903728485,0.06344717741012573,0.8524280190467834
esrgan,25,2,0.027405550703406334,7.51884126663208,0.02828427031636238,0.031481578946113586,0.47029829025268555,0.08178726583719254,0.4479144811630249
sen2sr,25,2,0.01309237815439701,3.035653829574585,0.0,0.02791050262749195,0.11948174238204956,0.07696905732154846,0.8035491704940796
bicubic,26,2,0.0032382814679294825,0.7164915204048157,0.0,0.006596770603209734,0.0970444455742836,0.7520655989646912,0.15088990330696106
lanczos,26,2,0.003160494612529874,0.7059665322303772,0.0,0.006655364762991667,0.1011243462562561,0.7394731640815735,0.1594024896621704
esrgan,26,2,0.013415321707725525,3.718550443649292,0.10000000149011612,0.011171452701091766,0.5250216126441956,0.26433515548706055,0.2106432020664215
sen2sr,26,2,0.010130693204700947,2.2943148612976074,0.0,0.011040651239454746,0.29613935947418213,0.5194047689437866,0.18445591628551483
bicubic,27,2,0.0017648005159571767,0.5750302076339722,0.0,0.008875015191733837,0.06394600123167038,0.0785997286438942,0.857454240322113
lanczos,27,2,0.0017233203398063779,0.5613675117492676,0.0,0.008873467333614826,0.06176212802529335,0.07754819095134735,0.8606896996498108
esrgan,27,2,0.011100598610937595,4.813856601715088,0.03999999910593033,0.010037130676209927,0.24792176485061646,0.14225052297115326,0.6098276972770691
sen2sr,27,2,0.004493093583732843,1.3249379396438599,0.0,0.00955017376691103,0.08625143766403198,0.0828305184841156,0.8309181332588196
bicubic,28,2,0.002056179102510214,0.47714051604270935,0.0,0.012490379624068737,0.1019657552242279,0.06786474585533142,0.8301694393157959
lanczos,28,2,0.0020080814138054848,0.4607557952404022,0.0,0.01251017116010189,0.09996689856052399,0.06649403274059296,0.8335390686988831
esrgan,28,2,0.015669630840420723,5.365885257720947,0.019999999552965164,0.015796206891536713,0.4586300551891327,0.1753624528646469,0.3660074770450592
sen2sr,28,2,0.005360642448067665,1.395585536956787,0.0,0.013465188443660736,0.13788369297981262,0.07011383026838303,0.7920023798942566
